player_id,season,clubs,leagues,played,started,minutes,goals,yellow_cards,red_cards,votes,clean_sheets,was_goalkeeper
1K3p5l2DOd,2025,Elizabeth Downs Soccer Club,Sunday Division Six; Sportal Sunday Premier C,12,9,720,0,0,0,0,0,true
1K3p5l2DOd,2026,Elizabeth Downs Soccer Club,Reserve Cup; Sunday Division Three; Sunday Division Three Reserves,14,11,1054,1,3,2,0,0,true
1K3p5qOB7d,2025,Munno Para,Guardian Insurance Brokers Over 35's; Sunday Division Eight; Guardian Insurance Brokers Over 35's Cup,12,1,80,2,0,0,0,0,false
1K3p5qOB7d,2026,Munno Para,Trial Matches - Over 35's; Guardian Insurance Over 35's Red; Guardian Insurance Brokers Over 35's Cup,16,0,0,1,0,0,0,0,false
1K3p5qbPqd,2026,BIH United,Saturday Division Three Reserves Red,4,2,120,0,0,0,0,0,false
1K3p5qp6od,2025,Tea Tree Gully,Guardian Insurance Brokers Over 35's,2,0,0,0,0,0,0,0,false
1K3p5qp6od,2026,Tea Tree Gully,Guardian Insurance Over 35's Red,2,1,80,0,0,0,0,0,false
1K3p5xn8Bd,2025,Elizabeth Downs Soccer Club,Guardian Insurance Brokers Over 35's; Sunday Division Six,14,13,1040,0,0,0,0,0,false
1K3p5xn8Bd,2026,Elizabeth Downs Soccer Club,Sunday Division Three Reserves; Sunday Division Three,18,16,1387,4,2,0,0,0,false
1K3p7MeOYd,2026,Vipers FC,Nova Under 16's YPL A Mixed; HPG Homes State League 2 South - Under 18's; Under 17's A Mixed,12,8,760,4,1,0,0,0,false
